Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-06-22,559.679993,84.739998,96.414284,436.290009,68.153664,130.610031,80.639999,31.814877,67.16317,88.371521
2015-06-23,563.390015,87.879997,97.312859,445.98999,68.385651,130.106934,80.370003,31.882381,66.674484,88.371521
2015-06-24,558.570007,88.860001,96.944283,440.839996,67.989357,128.886459,80.57,31.361614,67.556061,88.084976
2015-06-25,557.950012,87.980003,94.891426,440.100006,66.916451,128.057312,80.459999,31.448408,66.827789,87.659744
2015-06-26,553.059998,88.010002,93.08857,438.100006,68.73362,128.625626,81.660004,31.631638,66.032455,87.733704
2015-06-29,541.25,85.800003,92.23143,429.859985,66.471802,126.417572,79.349998,30.74441,65.82164,86.605965
2015-06-30,540.039978,85.769997,93.848572,434.089996,66.674805,125.83062,78.989998,31.072302,64.154297,86.28241
2015-07-01,543.299988,86.910004,93.635712,437.390015,67.129082,127.162872,80.110001,31.303751,62.314472,87.373199
2015-07-02,547.340027,87.290001,94.044289,437.709991,66.74247,127.069725,79.809998,31.072302,63.771008,87.502617
2015-07-06,545.619995,87.550003,94.571426,436.040009,66.423492,126.594589,80.080002,31.091591,64.202209,87.26226
2015-07-07,550.030029,87.220001,94.091431,436.720001,66.829453,130.898865,80.339996,31.313395,61.471226,89.111053
2015-07-08,541.700012,85.650002,93.507141,429.700012,65.814529,130.339828,79.220001,30.667263,61.490383,88.380783
2015-07-09,544.650024,85.879997,95.727142,434.390015,65.118607,129.920609,78.980003,30.802275,61.720367,87.437897
2015-07-10,556.109985,87.949997,97.228569,443.51001,65.650215,132.967163,80.470001,31.380903,61.480808,88.325317
2015-07-13,571.72998,90.099998,101.087143,455.570007,66.790787,134.215607,82.110001,31.930601,62.362392,89.869041
2015-07-14,584.179993,89.68,100.371429,465.570007,66.500824,134.094437,82.400002,31.940237,61.940758,89.785835
2015-07-15,583.960022,89.760002,98.129997,461.190002,66.723137,133.814972,81.800003,31.998106,60.87711,89.064819
2015-07-16,601.780029,90.849998,115.809998,475.480011,67.138763,134.467133,82.18,32.277779,60.829197,89.573227
2015-07-17,699.619995,94.970001,114.769997,483.01001,65.969193,134.793198,81.669998,32.017395,59.296013,89.462311
2015-07-20,692.840027,97.910004,110.550003,488.100006,65.659897,135.128601,81.540001,31.959532,56.114651,89.952232
2015-07-21,695.349976,98.389999,112.510002,488,65.157265,135.035461,79.82,31.583422,57.389111,89.600967
2015-07-22,695.099976,97.040001,111.5,488.269989,65.369911,136.37706,79.209999,31.776299,57.714909,89.822815
2015-07-23,674.72998,95.440002,110.099998,482.179993,65.021942,135.650345,78.239998,31.323038,55.875092,89.545502
2015-07-24,654.77002,96.949997,109.339996,529.419983,63.601063,135.082062,78.529999,31.660574,57.925728,88.907684
2015-07-27,658.27002,94.169998,106.43,531.409973,62.914795,134.392624,77.739998,31.139809,55.185154,88.426994
2015-07-28,659.659973,95.290001,106.900002,526.030029,63.117786,134.672119,78.139999,31.554491,56.517109,88.842957
2015-07-29,661.429993,96.989998,107.080002,529,62.769814,135.445374,77.589996,31.814877,58.011967,89.231216
