date,AAPL,AMZN,FB,GOOGL,NFLX
2017-05-09,152.71290213935,952.82,150.48,956.71,157.46
2017-05-10,152.01857223874,948.95,150.29,954.84,160.28
2017-05-11,153.32788005131,947.62,150.04,955.89,158.54
2017-05-12,155.46919178961,961.35,150.33,955.14,160.81
2017-05-15,155.07080821039,957.97,150.19,959.22,160.02
2017-05-16,154.84173765234,966.07,149.78,964.61,159.41
2017-05-17,149.64283194355,944.52,144.85,942.17,153.2
2017-05-18,151.92357793457,958.49,147.66,950.5,155.7
2017-05-19,152.34188069275,959.84,148.06,954.65,157.02
2017-05-22,153.36771840924,970.7,148.24,964.07,157.16
2017-05-23,153.17848620911,971.54,148.07,970.55,157.95
2017-05-24,152.72034509301,980.35,150.04,977.61,157.75
2017-05-25,153.24820333547,993.38,151.96,991.86,163.05
2017-05-26,152.98925400898,995.78,152.13,993.27,162.43
2017-05-30,153.04901154586,996.7,152.38,996.17,163.22
2017-05-31,152.14268890314,994.62,151.46,987.09,163.07
2017-06-01,152.56099166132,995.95,151.53,988.29,162.99
2017-06-02,154.82181847338,1006.73,153.61,996.12,165.18
2017-06-05,153.30796087235,1011.34,153.63,1003.88,165.06
2017-06-06,153.82585952534,1002.97,152.81,996.68,165.17
2017-06-07,154.74214175754,1010.07,153.12,1001.59,165.61
2017-06-08,154.36367735728,1009.94,154.71,1004.28,165.88
2017-06-09,148.37796407954,978.31,149.63,970.12,158.03
2017-06-12,144.7327543297,964.83,148.44,961.81,151.44
2017-06-13,145.99762219371,980.79,150.68,970.5,152.72
2017-06-14,144.57340089801,976.47,150.25,967.93,152.2
2017-06-15,143.70691661321,964.17,149.8,960.18,151.76
2017-06-16,141.69507953817,987.71,150.64,958.62,152.38
2017-06-19,145.7486324567,995.17,152.87,975.22,153.4
2017-06-20,144.4240070558,992.59,152.25,968.99,152.05
2017-06-21,145.28053175112,1002.23,153.91,978.59,155.03
2017-06-22,145.04150160359,1001.3,153.4,976.62,154.89
2017-06-23,145.75859204618,1003.74,155.07,986.09,158.03
2017-06-26,145.23073380372,993.98,153.59,972.09,157.5
2017-06-27,143.15913919179,976.78,150.58,948.09,151.03
2017-06-28,145.2406933932,990.33,153.24,961.01,153.41
2017-06-29,143.09938165491,975.93,151.04,937.82,150.09
2017-06-30,143.43800769724,968.0,150.98,929.68,149.41
2017-07-03,142.92010904426,953.66,148.43,919.46,146.17
2017-07-05,143.5077248236,971.4,150.34,932.26,147.61
2017-07-06,142.15322065427,965.14,148.82,927.69,146.25
2017-07-07,143.59736112893,978.76,151.44,940.81,150.18
2017-07-10,144.47380500321,996.47,153.5,951.0,152.67
2017-07-11,144.94190570879,994.13,155.27,953.53,154.33
2017-07-12,145.15105708788,1006.51,158.9,967.66,158.75
2017-07-13,147.17285375241,999.855,159.26,968.7175,158.17
2017-07-14,148.43772161642,1001.81,159.97,976.91,161.12
2017-07-17,148.9556202694,1010.04,159.73,975.96,161.7
2017-07-18,149.47351892239,1024.38,162.86,986.95,183.6
2017-07-19,150.40972033355,1026.87,164.14,992.77,183.86
2017-07-20,149.73246824888,1028.7,164.53,992.19,183.6
2017-07-21,149.66275112251,1025.67,164.43,993.84,188.54
2017-07-24,151.47539640795,1038.95,166.0,998.31,187.91
2017-07-25,152.12276972418,1039.87,165.28,969.03,186.97
2017-07-26,152.83986016677,1052.8,165.61,965.31,189.08
2017-07-27,149.95157921745,1046.0,170.44,952.51,182.68
2017-07-28,148.89586273252,1020.04,172.45,958.33,184.04
2017-07-31,148.24848941629,987.78,169.25,945.5,181.66
2017-08-01,149.44364015394,996.19,169.86,946.56,182.03
2017-08-02,156.50498909557,995.89,169.25,947.64,180.74
2017-08-03,154.94133354715,986.92,168.59,940.3,179.23
2017-08-04,155.75801988454,987.58,169.62,945.79,180.27
2017-08-07,,,171.98,945.75,181.33
2017-08-08,159.43310840282,989.84,171.23,944.19,178.36
2017-08-09,160.40914817191,982.01,171.18,940.08,175.78
2017-08-10,155.27,956.92,167.4,923.59,169.14
2017-08-11,157.48,967.99,168.08,930.09,171.4
2017-08-14,159.85,983.3,170.75,938.93,171.0
2017-08-15,161.6,982.74,171.0,938.08,168.5
2017-08-16,160.95,978.18,170.0,944.27,169.98
2017-08-17,157.87,960.57,166.91,927.66,166.09
2017-08-18,157.5,958.47,167.41,926.18,166.54
2017-08-21,157.21,953.29,167.78,920.87,166.76
2017-08-22,159.78,966.9,169.64,940.4,169.34
2017-08-23,159.98,958.0,168.71,942.58,169.06
2017-08-24,159.27,952.45,167.74,936.89,168.13
2017-08-25,159.86,945.26,166.32,930.5,165.95
2017-08-28,161.47,946.02,167.24,928.13,167.12
2017-08-29,162.91,954.06,168.05,935.75,168.81
2017-08-30,163.35,967.59,169.92,943.63,174.69
2017-08-31,164.0,980.6,172.0,955.24,174.71
2017-09-01,164.05,978.25,172.02,951.99,174.74
2017-09-05,162.08,965.27,170.72,941.48,174.52
2017-09-06,161.91,967.8,172.09,942.02,179.25
2017-09-07,161.26,979.47,173.21,949.89,179.0
2017-09-08,158.63,965.9,170.95,941.41,176.42
2017-09-11,161.5,977.96,173.51,943.29,181.74
2017-09-12,160.82,982.58,172.96,946.65,185.15
2017-09-13,159.65,999.6,173.05,950.44,183.64
2017-09-14,158.28,992.21,170.96,940.13,182.63
2017-09-15,159.88,986.79,171.58,935.29,182.1
2017-09-18,158.67,974.19,170.01,929.75,184.62
2017-09-19,158.73,969.86,172.52,936.86,185.68
2017-09-20,156.07,973.21,172.17,947.54,185.51
2017-09-21,153.39,964.65,171.11,947.55,188.78
2017-09-22,151.89,955.1,170.54,943.26,187.35
2017-09-25,150.55,939.79,162.87,934.28,178.55
2017-09-26,153.14,938.6,164.21,937.43,179.38
2017-09-27,154.23,950.87,167.68,959.9,181.97
2017-09-28,153.28,956.4,168.73,964.81,180.7
2017-09-29,154.12,961.35,170.81,973.72,181.35
2017-10-02,153.81,959.19,169.47,967.47,177.01
2017-10-03,154.48,957.1,169.96,972.08,179.19
2017-10-04,153.4508,965.45,168.42,966.78,184.45
2017-10-05,155.39,980.85,171.24,985.19,194.39
2017-10-06,155.3,989.58,172.23,993.64,198.02
2017-10-09,155.84,990.99,172.5,992.31,196.87
2017-10-10,155.9,987.2,171.59,987.8,195.08
2017-10-11,156.55,995.0,172.74,1005.65,194.95
2017-10-12,156.0,1000.93,172.55,1005.65,195.86
2017-10-13,156.99,1002.94,173.74,1007.87,199.49
2017-10-16,159.88,1006.34,174.52,1009.35,202.68
2017-10-17,160.47,1009.13,176.11,1011.0,199.48
2017-10-18,159.76,997.0,176.03,1012.74,195.54
2017-10-19,155.98,986.61,174.56,1001.84,195.13
2017-10-20,156.16,982.91,174.98,1005.07,194.16
2017-10-23,156.17,966.3,171.27,985.54,192.47
2017-10-24,157.1,975.9,171.8,988.49,196.02
2017-10-25,156.405,972.91,170.6,991.46,193.77
2017-10-26,157.41,972.43,170.63,991.42,195.21
2017-10-27,163.05,1100.95,177.88,1033.67,199.54
2017-10-30,166.72,1110.85,179.87,1033.13,198.37
2017-10-31,169.04,1105.28,180.06,1033.04,196.43
2017-11-01,166.89,1103.68,182.66,1042.6,198.0
2017-11-02,168.11,1094.22,178.92,1042.97,199.32
2017-11-03,172.5,1111.6,178.92,1049.99,200.01
2017-11-06,174.25,1120.66,180.17,1042.68,200.13
2017-11-07,174.81,1123.17,180.25,1052.39,195.89
2017-11-09,175.88,1129.13,179.3,1047.72,193.9
