Date,GOOGL,FB,NFLX,AMZN
2016-06-10,733.190002,116.620003,93.75,717.909973
2016-06-13,731.880005,113.949997,93.849998,715.23999
2016-06-14,733.25,114.940002,94.120003,719.299988
2016-06-15,732.190002,114.599998,94.290001,714.26001
2016-06-16,724.25,114.389999,95.440002,717.51001
2016-06-17,704.25,113.019997,94.449997,706.390015
2016-06-20,706.130005,113.370003,93.800003,714.01001
2016-06-21,708.880005,114.379997,90.989998,715.820007
2016-06-22,710.469971,113.910004,90.010002,710.599976
2016-06-23,714.869995,115.080002,91.660004,722.080017
2016-06-24,685.200012,112.080002,88.440002,698.960022
2016-06-27,681.140015,108.970001,85.330002,691.359985
2016-06-28,691.26001,112.699997,87.970001,707.950012
2016-06-29,695.190002,114.160004,91.059998,715.599976
2016-06-30,703.530029,114.279999,91.480003,715.619995
2016-07-01,710.25,114.190002,96.669998,725.679993
2016-07-05,704.890015,114.199997,97.910004,728.099976
2016-07-06,708.969971,116.699997,94.599998,737.609985
2016-07-07,707.26001,115.849998,95.099998,736.570007
2016-07-08,717.780029,117.239998,97.059998,745.809998
2016-07-11,727.200012,117.870003,94.669998,753.780029
2016-07-12,732.51001,117.93,95.970001,748.210022
2016-07-13,729.47998,116.779999,96.43,742.630005
2016-07-14,735.799988,117.290001,98.019997,741.200012
2016-07-15,735.630005,116.860001,98.389999,735.440002
2016-07-18,753.200012,119.370003,98.809998,736.070007
2016-07-19,753.409973,120.610001,85.839996,739.950012
2016-07-20,757.080017,121.919998,87.910004,745.719971
2016-07-21,754.409973,120.610001,85.989998,744.429993
2016-07-22,759.280029,121,85.889999,744.859985
2016-07-25,757.52002,121.629997,87.660004,739.609985
2016-07-26,757.650024,121.220001,91.410004,735.590027
2016-07-27,761.969971,123.339996,92.040001,736.669983
2016-07-28,765.840027,125,91.650002,752.609985
2016-07-29,791.340027,123.940002,91.25,758.809998
2016-08-01,800.940002,124.309998,94.370003,767.73999
2016-08-02,800.119995,123.089996,93.559998,760.580017
2016-08-03,798.919983,122.510002,93.099998,754.640015
2016-08-04,797.25,124.360001,93.440002,760.77002
2016-08-05,806.929993,125.150002,97.029999,765.97998
2016-08-08,805.22998,125.260002,95.110001,766.559998
2016-08-09,807.47998,125.059998,93.989998,768.309998
2016-08-10,808.48999,124.879997,93.93,768.559998
2016-08-11,808.200012,124.900002,95.889999,771.23999
2016-08-12,807.049988,124.879997,96.589996,772.559998
2016-08-15,805.960022,123.900002,95.309998,768.48999
2016-08-16,801.190002,123.300003,95.120003,764.039978
2016-08-17,805.419983,124.370003,96.370003,764.630005
2016-08-18,802.75,123.910004,96.160004,764.460022
2016-08-19,799.650024,123.559998,95.870003,757.309998
2016-08-22,796.950012,124.150002,95.260002,759.47998
2016-08-23,796.590027,124.370003,95.940002,762.450012
2016-08-24,793.599976,123.480003,95.18,757.25
2016-08-25,791.299988,123.889999,97.32,759.219971
2016-08-26,793.219971,124.959999,97.580002,769
2016-08-29,795.820007,126.540001,97.300003,771.289978
2016-08-30,791.919983,125.839996,97.449997,767.580017
2016-08-31,789.849976,126.120003,97.449997,769.159973
2016-09-01,791.400024,126.169998,97.379997,770.619995
2016-09-02,796.869995,126.510002,97.379997,772.440002
2016-09-06,808.02002,129.729996,100.089996,788.869995
2016-09-07,807.98999,131.050003,99.150002,784.47998
2016-09-08,802.840027,130.270004,99.660004,784.059998
2016-09-09,788.47998,127.099998,96.5,760.140015
2016-09-12,798.820007,128.690002,99.050003,771.48999
2016-09-13,788.719971,127.209999,96.089996,761.01001
2016-09-14,790.460022,127.769997,97.010002,761.090027
2016-09-15,801.22998,128.350006,97.339996,769.690002
2016-09-16,797.969971,129.070007,99.480003,778.52002
2016-09-19,795.390015,128.649994,98.059998,775.099976
2016-09-20,799.780029,128.639999,98.25,780.219971
2016-09-21,805.030029,129.940002,94.879997,789.73999
2016-09-22,815.950012,130.080002,95.830002,804.700012
2016-09-23,814.960022,127.959999,95.940002,805.75
2016-09-26,802.650024,127.309998,94.559998,799.159973
2016-09-27,810.72998,128.690002,97.07,816.109985
2016-09-28,810.059998,129.229996,97.480003,828.719971
2016-09-29,802.640015,128.089996,96.669998,829.049988
2016-09-30,804.059998,128.270004,98.550003,837.309998
2016-10-03,800.380005,128.770004,102.629997,836.73999
2016-10-04,802.789978,128.190002,102.339996,834.030029
2016-10-05,801.22998,128.470001,106.279999,844.359985
2016-10-06,803.080017,128.740005,105.07,841.659973
2016-10-07,800.710022,128.990005,104.82,839.429993
2016-10-10,814.169983,130.240005,103.330002,841.710022
2016-10-11,809.570007,128.880005,100.589996,831
2016-10-12,811.77002,129.050003,99.5,834.090027
2016-10-13,804.080017,127.82,100.230003,829.280029
2016-10-14,804.599976,127.879997,101.470001,822.960022
2016-10-17,806.840027,127.540001,99.800003,812.950012
2016-10-18,821.48999,128.570007,118.790001,817.650024
2016-10-19,826.840027,130.110001,121.870003,817.690002
2016-10-20,821.630005,130,123.349998,810.320007
2016-10-21,824.059998,132.070007,127.5,818.98999
2016-10-24,835.73999,133.279999,127.330002,838.090027
2016-10-25,828.549988,132.289993,126.510002,835.179993
2016-10-26,822.099976,131.039993,126.970001,822.590027
2016-10-27,817.349976,129.690002,126.470001,818.359985
2016-10-28,819.559998,131.289993,126.57,776.320007
